actor_id,actor_name
31,Tom Hanks
12898,Tim Allen
7167,Don Rickles
12899,Jim Varney
12900,Wallace Shawn
7907,John Ratzenberger
8873,Annie Potts
1116442,John Morris
12901,Erik von Detten
12133,Laurie Metcalf
8655,R. Lee Ermey
12903,Sarah Freeman
37221,Penn Jillette
2157,Robin Williams
8537,Jonathan Hyde
205,Kirsten Dunst
145151,Bradley Pierce
5149,Bonnie Hunt
10739,Bebe Neuwirth
58563,David Alan Grier
1276,Patricia Clarkson
46530,Adam Hann-Byrd
56523,Laura Bell Bundy
51551,James Handy
56522,Gillian Barber
1000304,Brandon Obray
188949,Cyrus Thiedeke
1076551,Gary Joseph Thorup
1480246,Leonard Zola
25024,Lloyd Berry
27110,Malcolm Stewart
53715,Annabel Kershaw
1379424,Darryl Henriques
1235504,Robyn Driscoll
25389,Peter Bryant
1483449,Sarah Gilson
1483450,Florica Vlad
1483451,June Lion
1483452,Brenda Lockmuller
6837,Walter Matthau
3151,Jack Lemmon
13567,Ann-Margret
16757,Sophia Loren
589,Daryl Hannah
16523,Burgess Meredith
7166,Kevin Pollak
8851,Whitney Houston
9780,Angela Bassett
18284,Loretta Devine
51359,Lela Rochon
66804,Gregory Hines
352,Dennis Haysbert
87118,Michael Beach
34,Mykelti Williamson
1276777,Lamont Johnson
10814,Wesley Snipes
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
70696,Kimberly Williams-Paisley
59222,George Newbern
18793,Kieran Culkin
14592,BD Wong
20906,Peter Michael Goetz
54348,Kate McGregor-Stewart
209,Jane Adams
26510,Eugene Levy
24358,Lori Alan
1158,Al Pacino
380,Robert De Niro
5576,Val Kilmer
10127,Jon Voight
3197,Tom Sizemore
6200,Diane Venora
15851,Amy Brenneman
15852,Ashley Judd
524,Natalie Portman
15854,Ted Levine
119232,Tom Noonan
31004,Tone Loc
5587,Hank Azaria
15853,Wes Studi
11160,Danny Trejo
9290,Henry Rollins
886,William Fichtner
34839,Kevin Gage
4158,Susan Traylor
86602,Jerry Trimble
158452,Ricky Harris
12799,Jeremy Piven
3982,Xander Berkeley
181343,Begonya Plaza
81687,Rick Avery
91756,Hazelle Goodman
160970,Ray Buktenica
175600,Max Daniels
12879,Vince Deadrick Jr.
9258,Steven Ford
167501,Farrah Forke
95145,Patricia Healy
58535,Paul Herman
161939,Cindy Katz
6580,Brian Libby
95796,Dan Martin
166543,Mario Roberts
43010,"Thomas Rosales, Jr."
37252,Yvonne Zima
1457709,Mick Gould
4971,Bud Cort
941147,Viviane Vives
17358,Kim Staunton
4790,Martin Ferrero
1090464,Brad Baldridge
1090465,Andrew Camuccio
1576419,Kenny Endoso
106714,Kimberly Flynn
116153,Niki Harris
237923,Bill McIntosh
4047,Rick Marzan
57347,Terry Miller
1576553,Daniel O'Haco
218094,Kai Soremekun
1491009,Peter Blackwell
1137847,Trevor Coppola
1504112,Mary Kircher
1504568,Darin Mangan
20625,Robert Miranda
1502517,Manny Perry
114625,Iva Franks Singer
1576562,Tim Werner
1584544,Philip Ettington
3,Harrison Ford
15887,Julia Ormond
17141,Greg Kinnear
4301,Angie Dickinson
12957,Nancy Marchand
8937,John Wood
16554,Richard Crenna
34485,Lauren Holly
13314,Dana Ivey
20234,Fanny Ardant
73827,Patrick Bruel
13242,Paul Giamatti
1163,Miriam Colón
138242,Elizabeth Franz
62531,Valérie Lemercier
59206,Becky Ann Baker
163775,John C. Vennema
452,Margo Martindale
52475,J. Smith-Cameron
1853632,Christine Luneau-Lipton
1853633,Michael Dees
153226,Denis Holmes
1853634,Jo-Jo Lowe
28029,Ira Wheeler
1853638,Philippa Cooper
97364,Ayako Kawahara
1317065,François Genty
6554,Guillaume Gallienne
37918,Inés Sastre
1217813,Phina Oruche
1853644,Andrea Behalikova
1115935,Jennifer Herrera
1853645,Kristina Kumlin
1853646,Eva Linderholm
76093,Carmen Chaplin
1853647,Micheline Van de Velde
1853651,Joanna Rhodes
1853653,Alan Boone
1460738,Patrick Forster-Delmas
1853654,Kentaro Matsuo
1632066,Peter McKernan
1853655,Ed Connelly
4184,Ronald L. Schwary
1853657,Alvin Lum
1853658,Siching Song
1357100,Phil Nee
157428,Randy Becker
1211979,Susan Browning
1853660,Anthony Mondal
1853661,Peter Parks
1548251,Woodrow Asai
1221663,Eric Bruno Borgman
1811338,Michael Cline
1853663,Christopher Del Gaudio
1099770,Philippe Hartmann
1853664,Jerry Quinn
1853665,Dori Rosenthal
53283,Jonathan Taylor Thomas
51214,Brad Renfro
38581,Rachael Leigh Cook
8316,Michael McShane
87007,Amy Wright
57448,Eric Schweig
102313,Tamara Mello
15111,Jean-Claude Van Damme
6280,Powers Boothe
8656,Dorian Harewood
10361,Raymond J. Barry
12928,Ross Malinger
79088,Whittni Wright
517,Pierce Brosnan
48,Sean Bean
10695,Izabella Scorupco
10696,Famke Janssen
10671,Joe Don Baker
5309,Judi Dench
3757,Gottfried John
1923,Robbie Coltrane
10697,Alan Cumming
10698,Tchéky Karyo
9906,Desmond Llewelyn
10699,Samantha Bond
10648,Michael Kitchen
10700,Serena Gordon
10701,Simon Kunz
55911,Billy J. Mitchell
27425,Constantine Gregory
6613,Minnie Driver
29054,Michelle Arthur
41742,Ravil Isyanov
3392,Michael Douglas
516,Annette Bening
521,Michael J. Fox
8349,Martin Sheen
63279,Anna Deavere Smith
112080,Shawna Waldron
20767,Samantha Mathis
19839,David Paymer
3037,Richard Dreyfuss
42133,Nina Siemaszko
61980,Wendie Malick
78494,Beau Billingslea
42003,Gail Strickland
131642,Joshua Malina
43115,Clement von Franckenstein
4251,John Mahoney
43978,John Mahon
92808,Gabriel Jarret
7633,Leslie Nielsen
14639,Mel Brooks
1219,Amy Yasbeck
12688,Peter MacNicol
12812,Lysette Anthony
13640,Harvey Korman
6106,Steven Weber
29709,Mark Blankfield
53570,Megan Cavanagh
170185,Gregg Binkley
10774,Anne Bancroft
4724,Kevin Bacon
382,Bob Hoskins
2233,Bridget Fonda
12077,Jim Cummings
110001,Phil Collins
67386,Juliette Brewer
19545,Jack Angel
52699,Danny Mann
77157,Robbie Rist
176254,Sandra Dickinson
15831,Frank Welker
6199,Miriam Margolyes
1592266,Lola Bates-Campbell
4173,Anthony Hopkins
11148,Joan Allen
228,Ed Harris
5249,E.G. Marshall
11076,David Hyde Pierce
7004,Paul Sorvino
2453,Mary Steenburgen
22131,J.T. Walsh
4512,James Woods
70843,Brian Bedford
14721,Kevin Dunn
56687,Fyvush Finkel
49425,Annabeth Gish
6840,Larry Hagman
29803,Madeline Kahn
6486,Dan Hedaya
20751,Bridgette Wilson
19453,Tom Bower
3417,Tony Goldwyn
52995,Edward Herrmann
15183,Tony Lo Bianco
3712,Saul Rubinek
50880,Robert Beltran
167561,John Cunningham
4942,John Diehl
11885,John C. McGinley
19654,Michael Chiklis
11397,Ric Young
230280,Boris Sichkin
8975,Sam Waterston
6407,Marley Shelton
16935,Geena Davis
8654,Matthew Modine
8924,Frank Langella
7868,Maury Chaykin
8979,Patrick Malahide
16936,Stan Shaw
16937,Rex Linn
13925,Paul Dillon
35769,Christopher Masterson
133771,Jimmie F. Skaggs
1166,Harris Yulin
127166,Carl Chase
1220350,Peter Geeves
1252814,Angus Wright
91662,Ken Bones
31294,Mary Peach
17202,Thomas Lockyer
1649736,Roger Booth
90625,George Murcell
1117347,Simon Atherton
1495190,Dickey Beer
1466675,Christopher Halliday
1420324,Chris Johnston
16792,Richard Leaf
2480,Tam White
2479,Rupert Vansittart
19704,Nick Bartlett
1715,David Bailie
1221761,Kwame Kwei-Armah
178622,Ramon Tikaram
64102,Christopher Adamson
4430,Sharon Stone
4517,Joe Pesci
7169,Alan King
7165,Pasquale Cajano
8262,L.Q. Jones
166789,Dick Smothers
7164,Frank Vincent
7424,Oscar Goodman
18262,Richard Riehle
11483,Catherine Scorsese
7168,Vinny Vella
7425,Nobu Matsuhisa
7423,Erika von Tagen
7444,Nick Mazzola
107020,David Rose
99906,John Bloom
13605,Joseph Rigano
14332,Philip Suriano
105623,Melissa Prophet
1574239,Bill Allison
96901,Joe La Due
7531,Joseph P. Reidy
1738942,Craig Vincent
42824,Carl Ciarfalio
39599,Gene Ruffini
1204013,Dominick Grieco
17921,Clem Caserta
120303,Daniel P. Conte
583419,Joey DePinto
122124,Jack Orend
1219275,Jed Mills
553774,Claudia Haro
1892328,Ffolliott Le Coque
1888770,John Manca
233121,Ronald Maccone
1888773,Joseph Bono
4692,Frank Adonis
58474,Anthony Russell
1183497,Stuart Nisbet
1644894,Alfred Nittoli
204,Kate Winslet
7056,Emma Thompson
3291,Hugh Grant
207,Tom Wilkinson
4566,Alan Rickman
20769,Imogen Stubbs
16700,Greg Wise
41419,Hugh Laurie
11356,Imelda Staunton
23076,Robert Hardy
31923,Oliver Ford Davies
10726,James Fleet
17477,Harriet Walter
9138,Gemma Jones
937907,Emilie François
1220119,Elizabeth Spriggs
141551,Richard Lumsden
