budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count,doy,year,dow,week,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,other_genre,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
30000000,862.0,21.946943,1995-10-30,373554033.0,81.0,7.7,5415.0,303.0,1995.0,0.0,44,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12898.0,7167.0,12899.0,12900.0
65000000,8844.0,17.015539,1995-12-15,262797249.0,104.0,6.9,2413.0,349.0,1995.0,4.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,2157.0,8537.0,205.0,145151.0,5149.0
0,15602.0,11.7129,1995-12-22,0.0,101.0,6.5,92.0,356.0,1995.0,4.0,51,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6837.0,3151.0,13567.0,16757.0,589.0
16000000,31357.0,3.859495,1995-12-22,81452156.0,127.0,6.1,34.0,356.0,1995.0,4.0,51,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8851.0,9780.0,18284.0,51359.0,66804.0
0,11862.0,8.387519,1995-02-10,76578911.0,106.0,5.7,173.0,41.0,1995.0,4.0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67773.0,3092.0,519.0,70696.0,59222.0
60000000,949.0,17.924927,1995-12-15,187436818.0,170.0,7.7,1886.0,349.0,1995.0,4.0,50,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,1158.0,380.0,5576.0,10127.0,3197.0
58000000,11860.0,6.677277,1995-12-15,0.0,127.0,6.2,141.0,349.0,1995.0,4.0,50,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15887.0,17141.0,4301.0,12957.0
0,45325.0,2.561161,1995-12-22,0.0,97.0,5.4,45.0,356.0,1995.0,4.0,51,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,53283.0,51214.0,38581.0,8316.0,87007.0
35000000,9091.0,5.23158,1995-12-22,64350171.0,106.0,5.5,174.0,356.0,1995.0,4.0,51,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,15111.0,6280.0,8656.0,10361.0,12928.0
58000000,710.0,14.686036,1995-11-16,352194034.0,130.0,6.6,1194.0,320.0,1995.0,3.0,46,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,517.0,48.0,10695.0,10696.0,10671.0
62000000,9087.0,6.318445,1995-11-17,107879496.0,106.0,6.5,199.0,321.0,1995.0,4.0,46,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3392.0,516.0,521.0,8349.0,63279.0
0,12110.0,5.430331,1995-12-22,0.0,88.0,5.7,210.0,356.0,1995.0,4.0,51,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7633.0,14639.0,1219.0,12688.0,12812.0
